"Index","INDPRO","CPIAUCSL","UNRATE","FEDFUNDS","GS10","SP500","DCOILWTICO","UMCSENT"
"1995-12-31",4.29087716211002,5.03630304084483,5.6,5.6,5.71,6.42313330882147,2.97246364661464,91
"1996-01-31",4.28513708331865,5.04148775757902,5.6,5.56,5.65,6.45523004009512,2.87694873756402,89.3
"1996-02-29",4.29966624324512,5.04342511691925,5.5,5.22,5.81,6.46213981431035,2.97501923195645,88.5
"1996-03-31",4.29844120061608,5.04664573161929,5.5,5.31,6.27,6.4700252102867,3.06479180948549,93.7
"1996-04-30",4.3083424188766,5.05049682752139,5.6,5.22,6.51,6.4833672303924,3.04213864636815,92.7
"1996-05-31",4.31578800249952,5.05241682811121,5.6,5.24,6.74,6.5059634089429,2.98416563718253,89.4
"1996-06-30",4.32338138074071,5.05433314936197,5.3,5.27,6.91,6.5082175763697,3.04070563919672,92.4
"1996-07-31",4.32353512677641,5.05624580534831,5.5,5.4,6.87,6.46139006737678,3.01847176052348,94.7
"1996-08-31",4.32864036206099,5.05751887999511,5.1,5.22,6.64,6.48002920940754,3.10234200861225,95.3
"1996-09-30",4.3348799941792,5.06069449396899,5.2,5.3,6.83,6.53281455110061,3.18635263316264,94.7
"1996-10-31",4.33517608822922,5.06386005533355,5.2,5.24,6.53,6.55858073591133,3.14630513203337,96.5
"1996-11-30",4.34432087340129,5.06701562753236,5.4,5.31,6.2,6.62938969896788,3.16547504814109,99.2
"1996-12-31",4.35070752149375,5.06953293534374,5.4,5.29,6.3,6.60764967334769,3.25424296870549,96.9
"1997-01-31",4.35229139186762,5.07141676635611,5.3,5.25,6.58,6.66716029989386,3.18428438009858,97.4
"1997-02-28",4.36415920866721,5.07329705522097,5.2,5.19,6.42,6.67307039108292,3.01062088604774,99.7
"1997-03-31",4.37048528882732,5.07392303333217,5.2,5.39,6.69,6.62952175490078,3.0130809118886,100
"1997-04-30",4.37165680334269,5.07454861983991,5.1,5.51,6.89,6.68628535993314,3.00568260440716,101.4
"1997-05-31",4.37718116432026,5.07454861983991,4.9,5.5,6.71,6.74321080450766,3.04452243772342,103.2
"1997-06-30",4.38176660086802,5.07642303463426,5,5.56,6.49,6.78574584113656,2.98669152890184,104.5
"1997-07-31",4.39027254352773,5.07767069543241,4.9,5.52,6.22,6.86098856369506,3.00518743232475,107.1
"1997-08-31",4.40022748962132,5.08016135674487,4.8,5.54,6.3,6.80180566840099,2.97858611471902,104.4
"1997-09-30",4.40934506507789,5.08264583007253,4.9,5.54,6.21,6.85359475095007,3.05069383162797,106
"1997-10-31",4.41817291505989,5.08450514266271,4.7,5.5,6.03,6.81850867312929,3.04927304048202,105.6
"1997-11-30",4.42601720395492,5.08574276658306,4.6,5.52,5.88,6.86213012650962,2.95125778345216,107.2
"1997-12-31",4.43026664753783,5.08636100462439,4.7,5.5,5.81,6.87773926469115,2.87073578337931,102.1
"1998-01-31",4.43464043181378,5.08759633523238,4.6,5.56,5.54,6.88783827502801,2.84549061022345,106.6
"1998-02-28",4.43625792143205,5.08759633523238,4.6,5.51,5.57,6.9559166415166,2.73696154459663,110.4
"1998-03-31",4.43660951244417,5.08759633523238,4.7,5.49,5.65,7.0046551037221,2.75684036527164,106.5
"1998-04-30",4.44003489562479,5.08883014168131,4.3,5.45,5.64,7.01369062939081,2.74470351875025,108.7
"1998-05-31",4.4466046081582,5.09129319711371,4.4,5.49,5.65,6.99468493673115,2.7219531062712,106.5
"1998-06-30",4.44058795287205,5.09252245356844,4.5,5.56,5.5,7.03336535071358,2.66025953726586,105.6
"1998-07-31",4.43673496617854,5.09497644253001,4.5,5.54,5.46,7.02168203892944,2.65815943148875,105.2
"1998-08-31",4.45722686723682,5.0962011824259,4.5,5.55,5.34,6.86409596024601,2.58701187272515,104.4
"1998-09-30",4.45669453932186,5.09681299033731,4.6,5.51,4.81,6.9246222384442,2.78439376768954,100.9
"1998-10-31",4.46350753841671,5.09925648574978,4.5,5.07,4.53,7.00185567633588,2.67276838695757,97.4
"1998-11-30",4.46274911125218,5.10047599809605,4.4,4.83,4.83,7.05929971254057,2.43097830776244,102.7
"1998-12-31",4.46726926084563,5.10230248262208,4.4,4.68,4.65,7.11414322018729,2.49650578563135,100.5
"1999-01-31",4.4715805059506,5.10412563718359,4.3,4.63,4.72,7.15433407880278,2.55022611590864,103.9
"1999-02-28",4.47764358560095,5.10412563718359,4.4,4.76,5,7.12151894120252,2.51041194019636,108.1
"1999-03-31",4.4799096382904,5.10473261747537,4.2,4.81,5.23,7.15957957346144,2.8130106367387,105.7
"1999-04-30",4.4822056243819,5.1113851971964,4.3,4.74,5.18,7.19682143343357,2.92798862146747,104.6
"1999-05-31",4.48850827164029,5.11198778835654,4.2,4.74,5.54,7.17153390109745,2.82435065679837,106.8
"1999-06-30",4.48772359372828,5.11198778835654,4.3,4.76,5.9,7.22454213868754,2.96165829322024,107.3
"1999-07-31",4.49349309604629,5.11619578975675,4.3,4.99,5.79,7.1919713297418,3.02140002030257,106
"1999-08-31",4.49750033920992,5.11859243560135,4.2,5.07,5.94,7.18569759929861,3.09783749649114,104.5
"1999-09-30",4.49345507816446,5.12277279403311,4.2,5.22,5.92,7.15673027587751,3.20030443928277,107.2
"1999-10-31",4.50560396206326,5.12455904041457,4.1,5.2,6.11,7.21739211248606,3.08145114895653,103.2
"1999-11-30",4.51043963816469,5.12634210180823,4.1,5.42,6.03,7.23627457044766,3.21366225781531,107.2
"1999-12-31",4.51812317199983,5.12871458216186,4,5.3,6.28,7.29250734549276,3.24882290123615,105.4
"2000-01-31",4.51675418661452,5.13167228913909,4,5.45,6.66,7.24026249452734,3.31962572796834,112
"2000-02-29",4.51987261232551,5.13579843705026,4.1,5.73,6.52,7.21994949209044,3.42001913590274,111.3
"2000-03-31",4.52342202485519,5.14166355650266,4,5.85,6.26,7.31227324272712,3.29063819109509,107.1
"2000-04-30",4.52935660626624,5.14107859012155,3.8,6.02,5.99,7.28099333177372,3.2468800212778,109.2
"2000-05-31",4.53206063831964,5.14283246370764,4,6.27,6.44,7.25883457937797,3.36832977803654,110.7
"2000-06-30",4.53245109504603,5.14865659199363,4,6.53,6.1,7.2824862109364,3.47939222924721,106.4
"2000-07-31",4.53049836259244,5.15155598515263,4,6.54,6.05,7.26600994374292,3.31418600467253,108.3
"2000-08-31",4.52777172919968,5.15155598515263,4.1,6.5,5.83,7.32493816743445,3.49923112193352,107.3
"2000-09-30",4.53237581222456,5.15675380222625,3.9,6.52,5.8,7.2699718465577,3.42978483851407,106.8
"2000-10-31",4.52848242750686,5.15848042136024,3.9,6.51,5.74,7.26501007186582,3.48737507790321,105.8
