"model","origin_date","origin_idx","lambda","alpha","psi","soc","sur","log_ml"
"medium","2007-04-30",268,0.199972930340301,NA,NA,0.448646251117371,0.523914240751629,2680.11735575481
"medium","2007-05-31",269,0.21961918257869,NA,NA,0.404107646064404,0.6014611957777,2691.98453467961
"medium","2007-06-30",270,0.199530930794903,NA,NA,0.416824666621947,0.626629097870598,2701.97860092391
"medium","2007-07-31",271,0.208190389669263,NA,NA,0.437127384169376,0.596518813808346,2717.63888942193
"medium","2007-08-31",272,0.199978465787973,NA,NA,0.403847683322569,0.545717321136838,2730.26675498832
"medium","2007-09-30",273,0.208844371205469,NA,NA,0.569950149229991,0.558921396335781,2744.15915974434
"medium","2007-10-31",274,0.196607135919106,NA,NA,0.46881632709819,0.55877796607041,2758.22100849646
"medium","2007-11-30",275,0.207636485078182,NA,NA,0.363143112823106,0.530068694203311,2767.31551753156
"medium","2007-12-31",276,0.205314144152697,NA,NA,0.443585106011579,0.545878685971045,2775.984799847
"medium","2008-01-31",277,0.204266078385475,NA,NA,0.539470989099137,0.655137514245724,2787.01833811262
"medium","2008-02-29",278,0.205061854066805,NA,NA,0.517281361579596,0.555174724253126,2790.93814373099
"medium","2008-03-31",279,0.219044402299598,NA,NA,0.565922932918098,0.525071811861968,2802.97304364195
"medium","2008-04-30",280,0.219875147926292,NA,NA,0.467375466888117,0.553096465023237,2814.015248438
"medium","2008-05-31",281,0.232324315839059,NA,NA,0.538823689314143,0.556559931257887,2823.84099182088
"medium","2008-06-30",282,0.217441839443619,NA,NA,0.587597739679952,0.663843635805806,2830.1786508641
"medium","2008-07-31",283,0.219825339416308,NA,NA,0.526115512891622,0.590449101501899,2840.03539098004
"medium","2008-08-31",284,0.220079222144042,NA,NA,0.457802927701765,0.533177494344681,2846.87764896358
"medium","2008-09-30",285,0.227975568399508,NA,NA,0.565314114700533,0.630678983322111,2827.16395437906
"medium","2008-10-31",286,0.242596277038704,NA,NA,0.513155409031903,0.510987361873323,2808.90217307572
"medium","2008-11-30",287,0.253608552310425,NA,NA,0.55945273071843,0.527173682850197,2798.52620244251
"medium","2008-12-31",288,0.288215689430673,NA,NA,0.449071141181518,0.41112313221136,2797.62500808752
"medium","2009-01-31",289,0.277440913289457,NA,NA,0.393680991886831,0.421799272522631,2798.69749047898
"medium","2009-02-28",290,0.280798664759223,NA,NA,0.404649014814125,0.512005109052958,2804.75514526249
"medium","2009-03-31",291,0.274147804208104,NA,NA,0.418786023580041,0.412679556584526,2810.69022127193
"medium","2009-04-30",292,0.281365899103842,NA,NA,0.460807568621953,0.440079291363872,2820.37372165782
"medium","2009-05-31",293,0.274711207807539,NA,NA,0.469997255313059,0.444323267989052,2825.86759105882
"medium","2009-06-30",294,0.284044055187739,NA,NA,0.460664435992664,0.45918348458998,2836.08981898042
"medium","2009-07-31",295,0.285701640181107,NA,NA,0.539857875392786,0.468636848405454,2843.38770976445
"medium","2009-08-31",296,0.270618803599967,NA,NA,0.523796674891064,0.497679849904453,2852.80913254259
"medium","2009-09-30",297,0.270821805577678,NA,NA,0.503978212565763,0.476725704162115,2864.38448151255
"medium","2009-10-31",298,0.267506184392546,NA,NA,0.451045344913424,0.539362925685574,2878.23067580602
"medium","2009-11-30",299,0.274066001867002,NA,NA,0.451397080568947,0.426905735591936,2889.54580439636
"medium","2009-12-31",300,0.28516325413345,NA,NA,0.50406854118313,0.476260517203638,2901.91768078632
"medium","2010-01-31",301,0.274592298253442,NA,NA,0.538630239940175,0.535444289322527,2914.59926090703
"medium","2010-02-28",302,0.268124448850856,NA,NA,0.465588143100651,0.510744777549003,2925.27558246545
"medium","2010-03-31",303,0.290409270550121,NA,NA,0.518253231748727,0.49720275075938,2937.15011695231
"medium","2010-04-30",304,0.279876292804605,NA,NA,0.415922561358394,0.488512464519298,2950.37915762234
"medium","2010-05-31",305,0.273685297507749,NA,NA,0.461828217260752,0.594945078375654,2957.9759401737
"medium","2010-06-30",306,0.271467257865713,NA,NA,0.469059133612746,0.531876575871908,2969.9162554938
"medium","2010-07-31",307,0.263760539806762,NA,NA,0.530537178324405,0.505317265235163,2979.44204363473
"medium","2010-08-31",308,0.276928242557605,NA,NA,0.37440515424532,0.477535470761769,2992.49253444011
"medium","2010-09-30",309,0.265197207532292,NA,NA,0.394735586503747,0.469173364360726,3004.36780831975
"medium","2010-10-31",310,0.270331075444037,NA,NA,0.422808855801814,0.560887644368228,3015.61528618108
"medium","2010-11-30",311,0.264813248463443,NA,NA,0.492727773324702,0.478479236072857,3025.04319783064
