"scenario","model","variable","horizon","target_date","rel_rmsfe"
"baseline","Full","CPI",3,2004-05-31,NA
"baseline","Full","CPI",3,2004-06-30,NA
"baseline","Full","CPI",3,2004-07-31,NA
"baseline","Full","CPI",3,2004-08-31,NA
"baseline","Full","CPI",3,2004-09-30,NA
"baseline","Full","CPI",3,2004-10-31,NA
"baseline","Full","CPI",3,2004-11-30,NA
"baseline","Full","CPI",3,2004-12-31,NA
"baseline","Full","CPI",3,2005-01-31,NA
"baseline","Full","CPI",3,2005-02-28,NA
"baseline","Full","CPI",3,2005-03-31,NA
"baseline","Full","CPI",3,2005-04-30,NA
"baseline","Full","CPI",3,2005-05-31,NA
"baseline","Full","CPI",3,2005-06-30,NA
"baseline","Full","CPI",3,2005-07-31,NA
"baseline","Full","CPI",3,2005-08-31,NA
"baseline","Full","CPI",3,2005-09-30,NA
"baseline","Full","CPI",3,2005-10-31,NA
"baseline","Full","CPI",3,2005-11-30,NA
"baseline","Full","CPI",3,2005-12-31,NA
"baseline","Full","CPI",3,2006-01-31,NA
"baseline","Full","CPI",3,2006-02-28,NA
"baseline","Full","CPI",3,2006-03-31,0.640232045231395
"baseline","Full","CPI",3,2006-04-30,0.638714099706788
"baseline","Full","CPI",3,2006-05-31,0.637204704972838
"baseline","Full","CPI",3,2006-06-30,0.635806209858274
"baseline","Full","CPI",3,2006-07-31,0.6292838360718
"baseline","Full","CPI",3,2006-08-31,0.612303134260096
"baseline","Full","CPI",3,2006-09-30,0.608591391835168
"baseline","Full","CPI",3,2006-10-31,0.638484428322202
"baseline","Full","CPI",3,2006-11-30,0.675969578441451
"baseline","Full","CPI",3,2006-12-31,0.664179954984766
"baseline","Full","CPI",3,2007-01-31,0.657948958564741
"baseline","Full","CPI",3,2007-02-28,0.651530181831574
"baseline","Full","CPI",3,2007-03-31,0.648507798162215
"baseline","Full","CPI",3,2007-04-30,0.644850013066029
"baseline","Full","CPI",3,2007-05-31,0.641960227583657
"baseline","Full","CPI",3,2007-06-30,0.639412218503429
"baseline","Full","CPI",3,2007-07-31,0.634824859516992
"baseline","Full","CPI",3,2007-08-31,0.636916543778206
