"window_start","window_end","rmsfe_h1","rmsfe_h3","rmsfe_h12","variable"
2015-02-28,2018-01-31,646703559634656,2.86779816811715e+25,2.97399421548782e+101,"CPI"
2015-03-31,2018-02-28,645779611894440,2.81364536253252e+25,2.96094372527893e+101,"CPI"
2015-04-30,2018-03-31,673850473578989,2.80814979771078e+25,2.98590069894639e+101,"CPI"
2015-05-31,2018-04-30,667875768984666,2.81197647736758e+25,2.9860533186598e+101,"CPI"
2015-06-30,2018-05-31,662660153246500,2.71181039884623e+25,2.85316248595371e+101,"CPI"
2015-07-31,2018-06-30,643006567720151,2.73239712302586e+25,2.86284055418002e+101,"CPI"
2015-08-31,2018-07-31,635427634592331,2.73899337225361e+25,2.8637832761728e+101,"CPI"
2015-09-30,2018-08-31,626054183072556,2.70346654851726e+25,2.85494086806548e+101,"CPI"
2015-10-31,2018-09-30,625379731465022,2.4803639039823e+25,2.41600961409591e+101,"CPI"
2015-11-30,2018-10-31,622094941591865,2.48254437579735e+25,2.4160637146998e+101,"CPI"
2015-12-31,2018-11-30,583396329163157,2.64147016496977e+25,2.69126010588545e+101,"CPI"
2016-01-31,2018-12-31,553669708468379,2.55189080581256e+25,2.586081217801e+101,"CPI"
2016-02-29,2019-01-31,553226943705426,2.62450874960731e+25,2.6164934603964e+101,"CPI"
2016-03-31,2019-02-28,580214048120024,2.56761118650554e+25,2.60388308228091e+101,"CPI"
2016-04-30,2019-03-31,573371256715914,2.54169517984883e+25,2.58452276064875e+101,"CPI"
2016-05-31,2019-04-30,567222815317688,2.50974165396395e+25,2.52618602378577e+101,"CPI"
2016-06-30,2019-05-31,586261470261509,2.51753184347772e+25,2.56536687945772e+101,"CPI"
2016-07-31,2019-06-30,584767277193591,2.4654424147124e+25,2.59005710526447e+101,"CPI"
2016-08-31,2019-07-31,572822911218948,2.39131096216843e+25,2.55461432908009e+101,"CPI"
2016-09-30,2019-08-31,564129215929684,2.39378122800263e+25,2.59983220851951e+101,"CPI"
2016-10-31,2019-09-30,568504741878045,2.39445159643338e+25,2.64750240356895e+101,"CPI"
2016-11-30,2019-10-31,562661921418488,2.42841077856622e+25,2.69793555191755e+101,"CPI"
2016-12-31,2019-11-30,562506289250673,2.45271600125976e+25,2.75002416091266e+101,"CPI"
2001-01-31,2003-12-31,2294106778282773,1.28909847599478e+26,5.95487903071868e+103,"INDPRO"
2001-02-28,2004-01-31,2237317012948204,1.26387928208041e+26,2.96861731894947e+103,"INDPRO"
2001-03-31,2004-02-29,2234535896327798,1.2378753371237e+26,2.76379308747482e+103,"INDPRO"
2001-04-30,2004-03-31,2271839806401633,1.23820918124692e+26,2.76294359807163e+103,"INDPRO"
2001-05-31,2004-04-30,2141486616257795,1.23529172717209e+26,2.75022488553122e+103,"INDPRO"
2001-06-30,2004-05-31,2148046485444133,1.17769893621894e+26,2.65334585285982e+103,"INDPRO"
2001-07-31,2004-06-30,2124753791232244,1.1764189784869e+26,2.62490698041886e+103,"INDPRO"
2001-08-31,2004-07-31,2044394233439211,1.14588665660981e+26,2.62386389042079e+103,"INDPRO"
2001-09-30,2004-08-31,2042023347706394,1.14922541751193e+26,2.59444896431278e+103,"INDPRO"
2001-10-31,2004-09-30,2042737586772057,1.1301875695425e+26,2.5643393084196e+103,"INDPRO"
2001-11-30,2004-10-31,2043530595747583,1.12152525191637e+26,2.28444852798096e+103,"INDPRO"
2001-12-31,2004-11-30,2042028148826444,1.08953954238482e+26,2.12537307799872e+103,"INDPRO"
2002-01-31,2004-12-31,2024075441255898,1.10249799422679e+26,2.21087650370414e+103,"INDPRO"
2002-02-28,2005-01-31,1957804186998275,1.07180760517181e+26,2.13831656174036e+103,"INDPRO"
2002-03-31,2005-02-28,1928835851385169,1.08695236217374e+26,2.13029124980532e+103,"INDPRO"
2002-04-30,2005-03-31,1949959396918968,1.08144596577279e+26,2.1109947888774e+103,"INDPRO"
2002-05-31,2005-04-30,1984970331673835,1.07597075605077e+26,2.09997084088775e+103,"INDPRO"
2002-06-30,2005-05-31,2037931579058716,1.07891499759515e+26,2.09910279829693e+103,"INDPRO"
2002-07-31,2005-06-30,2050436250684070,1.06970174582142e+26,2.09327332082879e+103,"INDPRO"
2002-08-31,2005-07-31,2051969531625749,1.08884684401048e+26,2.10108295688595e+103,"INDPRO"
2002-09-30,2005-08-31,2016119078382268,1.04741158690084e+26,1.96988839325679e+103,"INDPRO"
2002-10-31,2005-09-30,2008033569606472,1.38609460171824e+26,2.29044487873408e+103,"INDPRO"
2002-11-30,2005-10-31,2021678124988233,1.387613810106e+26,2.24527441263792e+103,"INDPRO"
2002-12-31,2005-11-30,2016333287690163,1.38831478089358e+26,2.32335393774704e+103,"INDPRO"
2003-01-31,2005-12-31,2027143013173134,1.37209828887517e+26,2.29417048382896e+103,"INDPRO"
2003-02-28,2006-01-31,2039285283902082,1.35474757173711e+26,2.2914185522141e+103,"INDPRO"
